Line no. 	 Token no. 		 Token 		 Lexeme
    546		    5561		 Operator	       *
    546		    5562		 Operator	       /
    547		    5563		 Special symbol	       #
    547		    5564		 Identifier	  define
    547		    5565		 Identifier	    ECHO
    547		    5566		 Keyword	      do
    547		    5567		 Special symbol	       {
    547		    5568		 Keyword	      if
    547		    5569		 Special symbol	       (
    547		    5570		 Identifier	  fwrite
    547		    5571		 Identifier	  yytext
    547		    5572		 Special symbol	       (
    547		    5573		 Identifier	    size
    547		    5574		 Identifier	       t
    547		    5575		 Identifier	  yyleng
    547		    5576		 Digit		       1
    547		    5577		 Identifier	   yyout
    547		    5578		 Special symbol	       )
    547		    5579		 Special symbol	       )
    547		    5580		 Special symbol	       {
    547		    5581		 Special symbol	       }
    547		    5582		 Special symbol	       }
    547		    5583		 Identifier	   while
    547		    5584		 Special symbol	       (
    547		    5585		 Digit		       0
    547		    5586		 Special symbol	       )
    548		    5587		 Special symbol	       #
    548		    5588		 Identifier	   endif
    549		    5589		 Operator	       /
    549		    5590		 Operator	       *
    549		    5591		 Identifier	    Gets
    549		    5592		 Identifier	   input
    549		    5593		 Identifier	     and
    549		    5594		 Identifier	  stuffs
    549		    5595		 Identifier	      it
    549		    5596		 Identifier	    into
    549		    5597		 Identifier	     buf
    549		    5598		 Identifier	  number
    549		    5599		 Identifier	      of
    549		    5600		 Identifier	 characters
    549		    5601		 Identifier	    read
    549		    5602		 Identifier	      or
    549		    5603		 Identifier	      YY
    549		    5604		 Identifier	    NULL
    550		    5605		 Operator	       *
    550		    5606		 Identifier	      is
    550		    5607		 Identifier	 returned
    550		    5608		 Identifier	      in
    550		    5609		 Identifier	  result
    551		    5610		 Operator	       *
    551		    5611		 Operator	       /
    552		    5612		 Special symbol	       #
    552		    5613		 Identifier	  ifndef
    552		    5614		 Identifier	      YY
    552		    5615		 Identifier	   INPUT
    552		    5616		 Special symbol	       #
    552		    5617		 Identifier	  define
    552		    5618		 Identifier	      YY
    552		    5619		 Identifier	   INPUT
    552		    5620		 Identifier	     buf
    552		    5621		 Identifier	  result
    552		    5622		 Identifier	     max
    552		    5623		 Identifier	    size
    553		    5624		 Keyword	      if
    553		    5625		 Special symbol	       (
    553		    5626		 Identifier	      YY
    553		    5627		 Identifier	 CURRENT
    553		    5628		 Identifier	  BUFFER
    553		    5629		 Identifier	  LVALUE
    553		    5630		 Identifier	      yy
    553		    5631		 Identifier	      is
    553		    5632		 Identifier	 interactive
    553		    5633		 Special symbol	       )
    554		    5634		 Special symbol	       {
    555		    5635		 Keyword	     int
    555		    5636		 Identifier	       c
    555		    5637		 Operator	       *
    555		    5638		 Special symbol	       ;
    556		    5639		 Keyword	     int
    556		    5640		 Identifier	       n
    557		    5641		 Keyword	     for
    557		    5642		 Special symbol	       (
    557		    5643		 Identifier	       n
    557		    5644		 Digit		       0
    557		    5645		 Special symbol	       ;
    557		    5646		 Identifier	       n
    557		    5647		 Identifier	     max
    557		    5648		 Identifier	    size
    558		    5649		 Special symbol	       (
    558		    5650		 Identifier	       c
    558		    5651		 Identifier	    getc
    558		    5652		 Identifier	    yyin
    558		    5653		 Special symbol	       )
    558		    5654		 Special symbol	       )
    558		    5655		 Special symbol	       !
    558		    5656		 Identifier	     EOF
    558		    5657		 Identifier	       c
    558		    5658		 Special symbol	       !
    558		    5659		 Identifier	       n
    558		    5660		 Special symbol	       ;
    558		    5661		 Operator	       +
    558		    5662		 Operator	       +
    558		    5663		 Identifier	       n
    558		    5664		 Special symbol	       )
    559		    5665		 Identifier	     buf
    559		    5666		 Identifier	       n
    559		    5667		 Special symbol	       (
    559		    5668		 Keyword	    char
    559		    5669		 Identifier	       c
    560		    5670		 Keyword	      if
    560		    5671		 Special symbol	       (
    560		    5672		 Identifier	       c
    560		    5673		 Identifier	       n
    560		    5674		 Special symbol	       )
    561		    5675		 Identifier	     buf
    561		    5676		 Identifier	       n
    561		    5677		 Operator	       +
    561		    5678		 Special symbol	       (
    561		    5679		 Keyword	    char
    561		    5680		 Identifier	       c
    562		    5681		 Keyword	      if
    562		    5682		 Special symbol	       (
    562		    5683		 Identifier	       c
    562		    5684		 Identifier	     EOF
    562		    5685		 Identifier	  ferror
    562		    5686		 Identifier	    yyin
    562		    5687		 Special symbol	       )
    562		    5688		 Special symbol	       )
    563		    5689		 Identifier	      YY
    563		    5690		 Identifier	   FATAL
    563		    5691		 Identifier	   ERROR
    563		    5692		 Identifier	   input
    563		    5693		 Identifier	      in
    563		    5694		 Identifier	    flex
    563		    5695		 Identifier	 scanner
    563		    5696		 Identifier	  failed
    563		    5697		 Special symbol	       )
    563		    5698		 Special symbol	       ;
    564		    5699		 Identifier	  result
    564		    5700		 Identifier	       n
    565		    5701		 Special symbol	       }
    566		    5702		 Keyword	    else
    567		    5703		 Special symbol	       {
    568		    5704		 Identifier	   errno
    568		    5705		 Digit		       0
    568		    5706		 Special symbol	       ;
    569		    5707		 Identifier	   while
    569		    5708		 Special symbol	       (
    569		    5709		 Special symbol	       (
    569		    5710		 Identifier	  result
    569		    5711		 Special symbol	       (
    569		    5712		 Keyword	     int
    569		    5713		 Identifier	   fread
    569		    5714		 Identifier	     buf
    569		    5715		 Digit		       1
    569		    5716		 Special symbol	       (
    569		    5717		 Identifier	      yy
    569		    5718		 Identifier	    size
    569		    5719		 Identifier	       t
    569		    5720		 Identifier	     max
    569		    5721		 Identifier	    size
    569		    5722		 Identifier	    yyin
    569		    5723		 Special symbol	       )
    569		    5724		 Digit		       0
    569		    5725		 Identifier	  ferror
    569		    5726		 Identifier	    yyin
    569		    5727		 Special symbol	       )
    570		    5728		 Special symbol	       {
    571		    5729		 Keyword	      if
    571		    5730		 Identifier	   errno
    571		    5731		 Special symbol	       !
    571		    5732		 Identifier	   EINTR
    572		    5733		 Special symbol	       {
    573		    5734		 Identifier	      YY
    573		    5735		 Identifier	   FATAL
    573		    5736		 Identifier	   ERROR
    573		    5737		 Identifier	   input
    573		    5738		 Identifier	      in
    573		    5739		 Identifier	    flex
    573		    5740		 Identifier	 scanner
    573		    5741		 Identifier	  failed
    573		    5742		 Special symbol	       )
    573		    5743		 Special symbol	       ;
    574		    5744		 Keyword	   break
    575		    5745		 Special symbol	       }
    576		    5746		 Identifier	   errno
    576		    5747		 Digit		       0
    576		    5748		 Special symbol	       ;
    577		    5749		 Identifier	 clearerr
    577		    5750		 Identifier	    yyin
    577		    5751		 Special symbol	       ;
    578		    5752		 Special symbol	       }
    579		    5753		 Special symbol	       }
    582		    5754		 Special symbol	       #
    582		    5755		 Identifier	   endif
    583		    5756		 Operator	       /
    583		    5757		 Operator	       *
    583		    5758		 Identifier	      No
    583		    5759		 Identifier	    semi
    583		    5760		 Identifier	   colon
    583		    5761		 Identifier	   after
    583		    5762		 Keyword	  return
    583		    5763		 Identifier	 correct
    583		    5764		 Identifier	   usage
    583		    5765		 Identifier	      is
    583		    5766		 Identifier	      to
    583		    5767		 Identifier	   write
    583		    5768		 Identifier	 yyterminate
    583		    5769		 Special symbol	       )
    583		    5770		 Special symbol	       ;
    583		    5771		 Operator	       -
    584		    5772		 Operator	       *
    584		    5773		 Identifier	      we
    584		    5774		 Identifier	     don
    584		    5775		 Identifier	       t
    584		    5776		 Identifier	    want
    584		    5777		 Identifier	      an
    584		    5778		 Identifier	   extra
    584		    5779		 Special symbol	       ;
    584		    5780		 Identifier	   after
    584		    5781		 Identifier	     the
    584		    5782		 Keyword	  return
    584		    5783		 Identifier	 because
    584		    5784		 Identifier	    that
    584		    5785		 Identifier	    will
    584		    5786		 Identifier	   cause
    584		    5787		 Operator	       *
    584		    5788		 Identifier	    some
    584		    5789		 Identifier	 compilers
    584		    5790		 Identifier	      to
    584		    5791		 Identifier	 complain
    584		    5792		 Identifier	   about
    584		    5793		 Identifier	 unreachable
    584		    5794		 Identifier	 statements
    585		    5795		 Operator	       *
    585		    5796		 Operator	       /
    586		    5797		 Special symbol	       #
    586		    5798		 Identifier	  ifndef
    586		    5799		 Identifier	 yyterminate
    586		    5800		 Special symbol	       #
    586		    5801		 Identifier	  define
    586		    5802		 Identifier	 yyterminate
    586		    5803		 Special symbol	       )
    586		    5804		 Keyword	  return
    586		    5805		 Identifier	      YY
    586		    5806		 Identifier	    NULL
    586		    5807		 Special symbol	       #
    586		    5808		 Identifier	   endif
    587		    5809		 Operator	       /
    587		    5810		 Operator	       *
    587		    5811		 Identifier	  Number
    587		    5812		 Identifier	      of
    587		    5813		 Identifier	 entries
    587		    5814		 Identifier	      by
    587		    5815		 Identifier	   which
    587		    5816		 Identifier	   start
    587		    5817		 Identifier	 condition
    587		    5818		 Identifier	   stack
    587		    5819		 Identifier	   grows
    587		    5820		 Operator	       *
    587		    5821		 Operator	       /
    588		    5822		 Special symbol	       #
    588		    5823		 Identifier	  ifndef
    588		    5824		 Identifier	      YY
    588		    5825		 Identifier	   START
    588		    5826		 Identifier	   STACK
    588		    5827		 Identifier	    INCR
    588		    5828		 Special symbol	       #
    588		    5829		 Identifier	  define
    588		    5830		 Identifier	      YY
    588		    5831		 Identifier	   START
    588		    5832		 Identifier	   STACK
    588		    5833		 Identifier	    INCR
    588		    5834		 Digit		       2
    588		    5835		 Digit		       5
    589		    5836		 Special symbol	       #
    589		    5837		 Identifier	   endif
    590		    5838		 Operator	       /
    590		    5839		 Operator	       *
    590		    5840		 Identifier	  Report
    590		    5841		 Identifier	       a
    590		    5842		 Identifier	   fatal
    590		    5843		 Identifier	   error
    590		    5844		 Operator	       *
    590		    5845		 Operator	       /
    591		    5846		 Special symbol	       #
    591		    5847		 Identifier	  ifndef
    591		    5848		 Identifier	      YY
    591		    5849		 Identifier	   FATAL
    591		    5850		 Identifier	   ERROR
    591		    5851		 Special symbol	       #
    591		    5852		 Identifier	  define
    591		    5853		 Identifier	      YY
    591		    5854		 Identifier	   FATAL
    591		    5855		 Identifier	   ERROR
    591		    5856		 Identifier	     msg
    591		    5857		 Identifier	      yy
    591		    5858		 Identifier	   fatal
    591		    5859		 Identifier	   error
    591		    5860		 Identifier	     msg
    591		    5861		 Special symbol	       )
    592		    5862		 Special symbol	       #
    592		    5863		 Identifier	   endif
    593		    5864		 Operator	       /
    593		    5865		 Operator	       *
    593		    5866		 Identifier	     end
    593		    5867		 Identifier	  tables
    593		    5868		 Identifier	 serialization
    593		    5869		 Identifier	 structures
    593		    5870		 Identifier	     and
    593		    5871		 Identifier	 prototypes
    593		    5872		 Operator	       *
    593		    5873		 Operator	       /
    595		    5874		 Operator	       /
    595		    5875		 Operator	       *
    595		    5876		 Identifier	 Default
    595		    5877		 Identifier	 declaration
    595		    5878		 Identifier	      of
    595		    5879		 Identifier	 generated
    595		    5880		 Identifier	 scanner
    595		    5881		 Operator	       -
    595		    5882		 Identifier	       a
    595		    5883		 Identifier	  define
    595		    5884		 Identifier	      so
    595		    5885		 Identifier	     the
    595		    5886		 Identifier	    user
    595		    5887		 Identifier	     can
    595		    5888		 Operator	       *
    595		    5889		 Identifier	  easily
    595		    5890		 Identifier	     add
    595		    5891		 Identifier	 parameters
    596		    5892		 Operator	       *
    596		    5893		 Operator	       /
    597		    5894		 Special symbol	       #
    597		    5895		 Identifier	  ifndef
    597		    5896		 Identifier	      YY
    597		    5897		 Identifier	    DECL
    597		    5898		 Special symbol	       #
    597		    5899		 Identifier	  define
    597		    5900		 Identifier	      YY
    597		    5901		 Identifier	    DECL
    597		    5902		 Identifier	      IS
    597		    5903		 Identifier	    OURS
    597		    5904		 Digit		       1
    599		    5905		 Keyword	  extern
    599		    5906		 Keyword	     int
    599		    5907		 Identifier	   yylex
    599		    5908		 Special symbol	       (
    599		    5909		 Identifier	    void
    599		    5910		 Special symbol	       ;
    601		    5911		 Special symbol	       #
    601		    5912		 Identifier	  define
    601		    5913		 Identifier	      YY
    601		    5914		 Identifier	    DECL
    601		    5915		 Keyword	     int
    601		    5916		 Identifier	   yylex
    601		    5917		 Special symbol	       (
    601		    5918		 Identifier	    void
    602		    5919		 Special symbol	       #
    602		    5920		 Identifier	   endif
    602		    5921		 Operator	       /
    602		    5922		 Operator	       *
    602		    5923		 Special symbol	       !
    602		    5924		 Identifier	      YY
    602		    5925		 Identifier	    DECL
    602		    5926		 Operator	       *
    602		    5927		 Operator	       /
    604		    5928		 Operator	       /
    604		    5929		 Operator	       *
    604		    5930		 Identifier	    Code
    604		    5931		 Identifier	 executed
    604		    5932		 Identifier	      at
    604		    5933		 Identifier	     the
    604		    5934		 Identifier	 beginning
    604		    5935		 Identifier	      of
    604		    5936		 Identifier	    each
    604		    5937		 Identifier	    rule
    604		    5938		 Identifier	   after
    604		    5939		 Identifier	  yytext
    604		    5940		 Identifier	     and
    604		    5941		 Identifier	  yyleng
    604		    5942		 Operator	       *
    604		    5943		 Identifier	    have
    604		    5944		 Identifier	    been
    604		    5945		 Identifier	     set
    604		    5946		 Identifier	      up
    605		    5947		 Operator	       *
    605		    5948		 Operator	       /
    606		    5949		 Special symbol	       #
    606		    5950		 Identifier	  ifndef
    606		    5951		 Identifier	      YY
    606		    5952		 Identifier	    USER
    606		    5953		 Identifier	  ACTION
    606		    5954		 Special symbol	       #
    606		    5955		 Identifier	  define
    606		    5956		 Identifier	      YY
    606		    5957		 Identifier	    USER
    606		    5958		 Identifier	  ACTION
    606		    5959		 Special symbol	       #
    606		    5960		 Identifier	   endif
    607		    5961		 Operator	       /
    607		    5962		 Operator	       *
    607		    5963		 Identifier	    Code
    607		    5964		 Identifier	 executed
    607		    5965		 Identifier	      at
    607		    5966		 Identifier	     the
    607		    5967		 Identifier	     end
    607		    5968		 Identifier	      of
    607		    5969		 Identifier	    each
    607		    5970		 Identifier	    rule
    607		    5971		 Operator	       *
    607		    5972		 Operator	       /
    608		    5973		 Special symbol	       #
    608		    5974		 Identifier	  ifndef
    608		    5975		 Identifier	      YY
    608		    5976		 Identifier	   BREAK
    608		    5977		 Special symbol	       #
    608		    5978		 Identifier	  define
    608		    5979		 Identifier	      YY
    608		    5980		 Identifier	   BREAK
    608		    5981		 Operator	       /
    608		    5982		 Operator	       *
    608		    5983		 Identifier	  LINTED
    608		    5984		 Operator	       /
    608		    5985		 Keyword	   break
    609		    5986		 Special symbol	       #
    609		    5987		 Identifier	   endif
    610		    5988		 Special symbol	       #
    610		    5989		 Identifier	  define
    610		    5990		 Identifier	      YY
    610		    5991		 Identifier	    RULE
    610		    5992		 Identifier	   SETUP
    611		    5993		 Identifier	      YY
    611		    5994		 Identifier	    USER
    611		    5995		 Identifier	  ACTION
    612		    5996		 Operator	       /
    612		    5997		 Operator	       *
    612		    5998		 Operator	       *
    612		    5999		 Identifier	     The
    612		    6000		 Identifier	    main
    612		    6001		 Identifier	 scanner
    612		    6002		 Identifier	 function
    612		    6003		 Identifier	   which
    612		    6004		 Identifier	    does
    612		    6005		 Identifier	     all
    612		    6006		 Identifier	     the
    612		    6007		 Identifier	    work
    613		    6008		 Operator	       *
    613		    6009		 Operator	       /
    614		    6010		 Identifier	      YY
    614		    6011		 Identifier	    DECL
    614		    6012		 Special symbol	       {
    615		    6013		 Identifier	      yy
    615		    6014		 Identifier	   state
    615		    6015		 Identifier	    type
    615		    6016		 Identifier	      yy
    615		    6017		 Identifier	 current
    615		    6018		 Identifier	   state
    616		    6019		 Keyword	    char
    616		    6020		 Operator	       *
    616		    6021		 Identifier	      yy
    616		    6022		 Identifier	      cp
    616		    6023		 Operator	       *
    616		    6024		 Identifier	      yy
    616		    6025		 Identifier	      bp
    617		    6026		 Keyword	     int
    617		    6027		 Identifier	      yy
    617		    6028		 Identifier	     act
    619		    6029		 Keyword	      if
    619		    6030		 Special symbol	       (
    619		    6031		 Special symbol	       !
    619		    6032		 Special symbol	       (
    619		    6033		 Identifier	      yy
    619		    6034		 Identifier	    init
    619		    6035		 Special symbol	       )
    620		    6036		 Special symbol	       {
    621		    6037		 Special symbol	       (
    621		    6038		 Identifier	      yy
    621		    6039		 Identifier	    init
    621		    6040		 Digit		       1
    621		    6041		 Special symbol	       ;
    623		    6042		 Special symbol	       #
    623		    6043		 Identifier	   ifdef
    623		    6044		 Identifier	      YY
    623		    6045		 Identifier	    USER
    623		    6046		 Identifier	    INIT
    623		    6047		 Identifier	      YY
    623		    6048		 Identifier	    USER
    623		    6049		 Identifier	    INIT
    624		    6050		 Special symbol	       #
    624		    6051		 Identifier	   endif
    625		    6052		 Keyword	      if
    625		    6053		 Special symbol	       (
    625		    6054		 Special symbol	       !
    625		    6055		 Special symbol	       (
    625		    6056		 Identifier	      yy
    625		    6057		 Identifier	   start
    625		    6058		 Special symbol	       )
    626		    6059		 Special symbol	       (
    626		    6060		 Identifier	      yy
    626		    6061		 Identifier	   start
    626		    6062		 Digit		       1
    626		    6063		 Special symbol	       ;
    626		    6064		 Operator	       /
    626		    6065		 Operator	       *
    626		    6066		 Identifier	   first
    626		    6067		 Identifier	   start
    626		    6068		 Identifier	   state
    626		    6069		 Operator	       *
    626		    6070		 Operator	       /
    628		    6071		 Keyword	      if
    628		    6072		 Special symbol	       (
    628		    6073		 Special symbol	       !
    628		    6074		 Identifier	    yyin
    628		    6075		 Special symbol	       )
    629		    6076		 Identifier	    yyin
    629		    6077		 Identifier	   stdin
    631		    6078		 Keyword	      if
    631		    6079		 Special symbol	       (
    631		    6080		 Special symbol	       !
    631		    6081		 Identifier	   yyout
    631		    6082		 Special symbol	       )
    632		    6083		 Identifier	   yyout
    632		    6084		 Identifier	  stdout
    634		    6085		 Keyword	      if
    634		    6086		 Special symbol	       (
    634		    6087		 Special symbol	       !
    634		    6088		 Identifier	      YY
    634		    6089		 Identifier	 CURRENT
    634		    6090		 Identifier	  BUFFER
    634		    6091		 Special symbol	       )
    634		    6092		 Special symbol	       {
    635		    6093		 Identifier	 yyensure
    635		    6094		 Identifier	  buffer
    635		    6095		 Identifier	   stack
    635		    6096		 Special symbol	       (
    635		    6097		 Special symbol	       )
    635		    6098		 Special symbol	       ;
    636		    6099		 Identifier	      YY
    636		    6100		 Identifier	 CURRENT
    636		    6101		 Identifier	  BUFFER
    636		    6102		 Identifier	  LVALUE
    637		    6103		 Identifier	      yy
    637		    6104		 Identifier	  create
    637		    6105		 Identifier	  buffer
    637		    6106		 Identifier	    yyin
    637		    6107		 Identifier	      YY
    637		    6108		 Identifier	     BUF
    637		    6109		 Identifier	    SIZE
    637		    6110		 Special symbol	       )
    637		    6111		 Special symbol	       ;
    638		    6112		 Special symbol	       }
    640		    6113		 Identifier	      yy
    640		    6114		 Identifier	    load
    640		    6115		 Identifier	  buffer
    640		    6116		 Identifier	   state
    640		    6117		 Special symbol	       )
    640		    6118		 Special symbol	       ;
    641		    6119		 Special symbol	       }
    643		    6120		 Special symbol	       {
    644		    6121		 Special symbol	       #
    644		    6122		 Identifier	    line
    644		    6123		 Digit		       7
    644		    6124		 Identifier	     lab
    644		    6125		 Digit		       2
    644		    6126		 Identifier	       l
    646		    6127		 Special symbol	       #
    646		    6128		 Identifier	    line
    646		    6129		 Digit		       7
    646		    6130		 Digit		       7
    646		    6131		 Digit		       4
    646		    6132		 Identifier	     lex
    646		    6133		 Identifier	      yy
    646		    6134		 Identifier	       c
    648		    6135		 Identifier	   while
    648		    6136		 Special symbol	       (
    648		    6137		 Operator	       /
    648		    6138		 Operator	       *
    648		    6139		 Identifier	 CONSTCOND
    648		    6140		 Operator	       /
    648		    6141		 Digit		       1
    648		    6142		 Special symbol	       )
    648		    6143		 Operator	       /
    648		    6144		 Operator	       *
    648		    6145		 Identifier	   loops
    648		    6146		 Identifier	   until
    648		    6147		 Identifier	     end
    648		    6148		 Identifier	      of
    648		    6149		 Identifier	    file
    648		    6150		 Identifier	      is
    648		    6151		 Identifier	 reached
    648		    6152		 Operator	       *
    648		    6153		 Operator	       /
    649		    6154		 Special symbol	       {
    650		    6155		 Identifier	      yy
    650		    6156		 Identifier	      cp
    650		    6157		 Special symbol	       (
    650		    6158		 Identifier	      yy
    650		    6159		 Identifier	       c
    650		    6160		 Identifier	     buf
    650		    6161		 Identifier	       p
    650		    6162		 Special symbol	       ;
    652		    6163		 Operator	       /
    652		    6164		 Operator	       *
    652		    6165		 Identifier	 Support
    652		    6166		 Identifier	      of
    652		    6167		 Identifier	  yytext
    652		    6168		 Operator	       *
    652		    6169		 Operator	       /
    653		    6170		 Operator	       *
    653		    6171		 Identifier	      yy
    653		    6172		 Identifier	      cp
    653		    6173		 Special symbol	       (
    653		    6174		 Identifier	      yy
    653		    6175		 Identifier	    hold
    653		    6176		 Keyword	    char
    653		    6177		 Special symbol	       ;
    655		    6178		 Operator	       /
    655		    6179		 Operator	       *
    655		    6180		 Identifier	      yy
    655		    6181		 Identifier	      bp
    655		    6182		 Identifier	  points
    655		    6183		 Identifier	      to
    655		    6184		 Identifier	     the
    655		    6185		 Identifier	 position
    655		    6186		 Identifier	      in
    655		    6187		 Identifier	      yy
    655		    6188		 Identifier	      ch
    655		    6189		 Identifier	     buf
    655		    6190		 Identifier	      of
    655		    6191		 Identifier	     the
    655		    6192		 Identifier	   start
    655		    6193		 Identifier	      of
    655		    6194		 Operator	       *
    655		    6195		 Identifier	     the
    655		    6196		 Identifier	 current
    655		    6197		 Identifier	     run
    656		    6198		 Operator	       *
    656		    6199		 Operator	       /
    657		    6200		 Identifier	      yy
    657		    6201		 Identifier	      bp
    657		    6202		 Identifier	      yy
    657		    6203		 Identifier	      cp
    659		    6204		 Identifier	      yy
    659		    6205		 Identifier	 current
    659		    6206		 Identifier	   state
    659		    6207		 Special symbol	       (
    659		    6208		 Identifier	      yy
    659		    6209		 Identifier	   start
    659		    6210		 Special symbol	       ;
    660		    6211		 Identifier	      yy
    660		    6212		 Identifier	   match
    661		    6213		 Keyword	      do
    661		    6214		 Special symbol	       {
    662		    6215		 Identifier	      YY
    662		    6216		 Identifier	    CHAR
    662		    6217		 Identifier	      yy
    662		    6218		 Identifier	       c
    662		    6219		 Identifier	      yy
    662		    6220		 Identifier	      ec
    662		    6221		 Identifier	      YY
    662		    6222		 Identifier	      SC
    662		    6223		 Identifier	      TO
    662		    6224		 Identifier	      UI
    662		    6225		 Operator	       *
    662		    6226		 Identifier	      yy
    662		    6227		 Identifier	      cp
    662		    6228		 Special symbol	       ;
    663		    6229		 Keyword	      if
    663		    6230		 Special symbol	       (
    663		    6231		 Identifier	      yy
    663		    6232		 Identifier	  accept
    663		    6233		 Identifier	      yy
    663		    6234		 Identifier	 current
    663		    6235		 Identifier	   state
    663		    6236		 Special symbol	       )
    664		    6237		 Special symbol	       {
    665		    6238		 Special symbol	       (
    665		    6239		 Identifier	      yy
    665		    6240		 Identifier	    last
    665		    6241		 Identifier	 accepting
    665		    6242		 Identifier	   state
    665		    6243		 Identifier	      yy
    665		    6244		 Identifier	 current
    665		    6245		 Identifier	   state
    666		    6246		 Special symbol	       (
    666		    6247		 Identifier	      yy
    666		    6248		 Identifier	    last
    666		    6249		 Identifier	 accepting
    666		    6250		 Identifier	    cpos
    666		    6251		 Identifier	      yy
    666		    6252		 Identifier	      cp
    667		    6253		 Special symbol	       }
    668		    6254		 Identifier	   while
    668		    6255		 Special symbol	       (
    668		    6256		 Identifier	      yy
    668		    6257		 Identifier	     chk
    668		    6258		 Identifier	      yy
    668		    6259		 Identifier	    base
    668		    6260		 Identifier	      yy
    668		    6261		 Identifier	 current
    668		    6262		 Identifier	   state
    668		    6263		 Operator	       +
    668		    6264		 Identifier	      yy
    668		    6265		 Identifier	       c
    668		    6266		 Special symbol	       !
    668		    6267		 Identifier	      yy
    668		    6268		 Identifier	 current
    668		    6269		 Identifier	   state
    668		    6270		 Special symbol	       )
    669		    6271		 Special symbol	       {
    670		    6272		 Identifier	      yy
    670		    6273		 Identifier	 current
    670		    6274		 Identifier	   state
    670		    6275		 Special symbol	       (
    670		    6276		 Keyword	     int
    670		    6277		 Identifier	      yy
    670		    6278		 Identifier	     def
    670		    6279		 Identifier	      yy
    670		    6280		 Identifier	 current
    670		    6281		 Identifier	   state
    670		    6282		 Special symbol	       ;
    671		    6283		 Keyword	      if
    671		    6284		 Special symbol	       (
    671		    6285		 Identifier	      yy
    671		    6286		 Identifier	 current
    671		    6287		 Identifier	   state
    671		    6288		 Digit		       1
    671		    6289		 Digit		       0
    671		    6290		 Digit		       9
    671		    6291		 Special symbol	       )
    672		    6292		 Identifier	      yy
    672		    6293		 Identifier	       c
    672		    6294		 Identifier	      yy
    672		    6295		 Identifier	    meta
    672		    6296		 Identifier	      yy
    672		    6297		 Identifier	       c
    672		    6298		 Special symbol	       ;
    673		    6299		 Special symbol	       }
    674		    6300		 Identifier	      yy
    674		    6301		 Identifier	 current
    674		    6302		 Identifier	   state
    674		    6303		 Identifier	      yy
    674		    6304		 Identifier	     nxt
    674		    6305		 Identifier	      yy
    674		    6306		 Identifier	    base
    674		    6307		 Identifier	      yy
    674		    6308		 Identifier	 current
    674		    6309		 Identifier	   state
    674		    6310		 Operator	       +
    674		    6311		 Identifier	      yy
    674		    6312		 Identifier	       c
    674		    6313		 Special symbol	       ;
    675		    6314		 Operator	       +
    675		    6315		 Operator	       +
    675		    6316		 Identifier	      yy
    675		    6317		 Identifier	      cp
    676		    6318		 Special symbol	       }
    677		    6319		 Identifier	   while
    677		    6320		 Special symbol	       (
    677		    6321		 Identifier	      yy
    677		    6322		 Identifier	    base
    677		    6323		 Identifier	      yy
    677		    6324		 Identifier	 current
    677		    6325		 Identifier	   state
    677		    6326		 Special symbol	       !
    677		    6327		 Digit		       2
    677		    6328		 Digit		       9
    677		    6329		 Digit		       5
    677		    6330		 Special symbol	       )
    677		    6331		 Special symbol	       ;
    679		    6332		 Identifier	      yy
    679		    6333		 Identifier	    find
    679		    6334		 Identifier	  action
    680		    6335		 Identifier	      yy
    680		    6336		 Identifier	     act
    680		    6337		 Identifier	      yy
    680		    6338		 Identifier	  accept
    680		    6339		 Identifier	      yy
    680		    6340		 Identifier	 current
    680		    6341		 Identifier	   state
    680		    6342		 Special symbol	       ;
    681		    6343		 Keyword	      if
    681		    6344		 Special symbol	       (
    681		    6345		 Identifier	      yy
    681		    6346		 Identifier	     act
    681		    6347		 Digit		       0
    681		    6348		 Special symbol	       )
    682		    6349		 Special symbol	       {
    682		    6350		 Operator	       /
    682		    6351		 Operator	       *
    682		    6352		 Identifier	    have
    682		    6353		 Identifier	      to
    682		    6354		 Identifier	    back
    682		    6355		 Identifier	      up
    682		    6356		 Operator	       *
    682		    6357		 Operator	       /
    683		    6358		 Identifier	      yy
    683		    6359		 Identifier	      cp
    683		    6360		 Special symbol	       (
    683		    6361		 Identifier	      yy
    683		    6362		 Identifier	    last
    683		    6363		 Identifier	 accepting
    683		    6364		 Identifier	    cpos
    683		    6365		 Special symbol	       ;
    684		    6366		 Identifier	      yy
    684		    6367		 Identifier	 current
    684		    6368		 Identifier	   state
    684		    6369		 Special symbol	       (
    684		    6370		 Identifier	      yy
    684		    6371		 Identifier	    last
    684		    6372		 Identifier	 accepting
    684		    6373		 Identifier	   state
    684		    6374		 Special symbol	       ;
    685		    6375		 Identifier	      yy
    685		    6376		 Identifier	     act
    685		    6377		 Identifier	      yy
    685		    6378		 Identifier	  accept
    685		    6379		 Identifier	      yy
    685		    6380		 Identifier	 current
    685		    6381		 Identifier	   state
    685		    6382		 Special symbol	       ;
    686		    6383		 Special symbol	       }
    688		    6384		 Identifier	      YY
    688		    6385		 Identifier	      DO
    688		    6386		 Identifier	  BEFORE
    688		    6387		 Identifier	  ACTION
    690		    6388		 Keyword	      do
    690		    6389		 Identifier	  action
    690		    6390		 Operator	       /
    690		    6391		 Operator	       *
    690		    6392		 Identifier	    This
    690		    6393		 Identifier	   label
    690		    6394		 Identifier	      is
    690		    6395		 Identifier	    used
    690		    6396		 Identifier	    only
    690		    6397		 Identifier	      to
    690		    6398		 Identifier	  access
