Line no. 	 Token no. 		 Token 		 Lexeme
     62		     479		 Special symbol	       !
     62		     480		 Identifier	 FLEXINT
     62		     481		 Identifier	       H
     62		     482		 Operator	       *
     62		     483		 Operator	       /
     64		     484		 Operator	       /
     64		     485		 Operator	       *
     64		     486		 Identifier	   begin
     64		     487		 Identifier	 standard
     64		     488		 Identifier	       C
     64		     489		 Operator	       +
     64		     490		 Identifier	 headers
     64		     491		 Operator	       *
     64		     492		 Operator	       /
     66		     493		 Operator	       /
     66		     494		 Operator	       *
     66		     495		 Identifier	    TODO
     66		     496		 Identifier	    this
     66		     497		 Identifier	      is
     66		     498		 Identifier	  always
     66		     499		 Identifier	 defined
     66		     500		 Identifier	      so
     66		     501		 Keyword	  inline
     66		     502		 Identifier	      it
     66		     503		 Operator	       *
     66		     504		 Operator	       /
     67		     505		 Special symbol	       #
     67		     506		 Identifier	  define
     67		     507		 Identifier	 yyconst
     67		     508		 Keyword	   const
     68		     509		 Special symbol	       #
     68		     510		 Keyword	      if
     68		     511		 Identifier	 defined
     68		     512		 Identifier	    GNUC
     68		     513		 Special symbol	       )
     68		     514		 Identifier	    GNUC
     68		     515		 Digit		       3
     69		     516		 Special symbol	       #
     69		     517		 Identifier	  define
     69		     518		 Identifier	 yynoreturn
     69		     519		 Identifier	 attribute
     69		     520		 Special symbol	       (
     69		     521		 Special symbol	       (
     69		     522		 Identifier	 noreturn
     69		     523		 Special symbol	       )
     69		     524		 Special symbol	       )
     70		     525		 Special symbol	       #
     70		     526		 Keyword	    else
     70		     527		 Special symbol	       #
     70		     528		 Identifier	  define
     70		     529		 Identifier	 yynoreturn
     70		     530		 Special symbol	       #
     70		     531		 Identifier	   endif
     71		     532		 Operator	       /
     71		     533		 Operator	       *
     71		     534		 Identifier	 Returned
     71		     535		 Identifier	    upon
     71		     536		 Identifier	     end
     71		     537		 Identifier	      of
     71		     538		 Identifier	    file
     71		     539		 Operator	       *
     71		     540		 Operator	       /
     72		     541		 Special symbol	       #
     72		     542		 Identifier	  define
     72		     543		 Identifier	      YY
     72		     544		 Identifier	    NULL
     72		     545		 Digit		       0
     74		     546		 Operator	       /
     74		     547		 Operator	       *
     74		     548		 Identifier	 Promotes
     74		     549		 Identifier	       a
     74		     550		 Identifier	 possibly
     74		     551		 Identifier	 negative
     74		     552		 Identifier	 possibly
     74		     553		 Keyword	  signed
     74		     554		 Keyword	    char
     74		     555		 Identifier	      to
     74		     556		 Identifier	      an
     74		     557		 Operator	       *
     74		     558		 Identifier	 integer
     74		     559		 Identifier	      in
     74		     560		 Identifier	   range
     74		     561		 Digit		       0
     74		     562		 Digit		       2
     74		     563		 Digit		       5
     74		     564		 Digit		       5
     74		     565		 Keyword	     for
     74		     566		 Identifier	     use
     74		     567		 Identifier	      as
     74		     568		 Identifier	      an
     74		     569		 Identifier	   array
     74		     570		 Identifier	   index
     75		     571		 Operator	       *
     75		     572		 Operator	       /
     76		     573		 Special symbol	       #
     76		     574		 Identifier	  define
     76		     575		 Identifier	      YY
     76		     576		 Identifier	      SC
     76		     577		 Identifier	      TO
     76		     578		 Identifier	      UI
     76		     579		 Identifier	       c
     76		     580		 Special symbol	       (
     76		     581		 Special symbol	       (
     76		     582		 Identifier	      YY
     76		     583		 Identifier	    CHAR
     76		     584		 Special symbol	       (
     76		     585		 Identifier	       c
     76		     586		 Special symbol	       )
     78		     587		 Operator	       /
     78		     588		 Operator	       *
     78		     589		 Identifier	   Enter
     78		     590		 Identifier	       a
     78		     591		 Identifier	   start
     78		     592		 Identifier	 condition
     78		     593		 Identifier	    This
     78		     594		 Identifier	   macro
     78		     595		 Identifier	  really
     78		     596		 Identifier	   ought
     78		     597		 Identifier	      to
     78		     598		 Identifier	    take
     78		     599		 Identifier	       a
     78		     600		 Identifier	 parameter
     79		     601		 Operator	       *
     79		     602		 Identifier	     but
     79		     603		 Identifier	      we
     79		     604		 Keyword	      do
     79		     605		 Identifier	      it
     79		     606		 Identifier	     the
     79		     607		 Identifier	 disgusting
     79		     608		 Identifier	  crufty
     79		     609		 Identifier	     way
     79		     610		 Identifier	  forced
     79		     611		 Identifier	      on
     79		     612		 Identifier	      us
     79		     613		 Identifier	      by
     79		     614		 Identifier	     the
     79		     615		 Special symbol	       (
     79		     616		 Special symbol	       )
     79		     617		 Operator	       -
     79		     618		 Identifier	    less
     79		     619		 Operator	       *
     79		     620		 Identifier	 definition
     79		     621		 Identifier	      of
     79		     622		 Identifier	   BEGIN
     80		     623		 Operator	       *
     80		     624		 Operator	       /
     81		     625		 Special symbol	       #
     81		     626		 Identifier	  define
     81		     627		 Identifier	   BEGIN
     81		     628		 Special symbol	       (
     81		     629		 Identifier	      yy
     81		     630		 Identifier	   start
     81		     631		 Digit		       1
     81		     632		 Operator	       +
     81		     633		 Digit		       2
     81		     634		 Operator	       *
     82		     635		 Operator	       /
     82		     636		 Operator	       *
     82		     637		 Identifier	 Translate
     82		     638		 Identifier	     the
     82		     639		 Identifier	 current
     82		     640		 Identifier	   start
     82		     641		 Identifier	   state
     82		     642		 Identifier	    into
     82		     643		 Identifier	       a
     82		     644		 Identifier	   value
     82		     645		 Identifier	    that
     82		     646		 Identifier	     can
     82		     647		 Identifier	      be
     82		     648		 Identifier	   later
     82		     649		 Identifier	  handed
     82		     650		 Operator	       *
     82		     651		 Identifier	      to
     82		     652		 Identifier	   BEGIN
     82		     653		 Identifier	      to
     82		     654		 Keyword	  return
     82		     655		 Identifier	      to
     82		     656		 Identifier	     the
     82		     657		 Identifier	   state
     82		     658		 Identifier	     The
     82		     659		 Identifier	 YYSTATE
     82		     660		 Identifier	   alias
     82		     661		 Identifier	      is
     82		     662		 Keyword	     for
     82		     663		 Identifier	     lex
     82		     664		 Operator	       *
     82		     665		 Identifier	 compatibility
     83		     666		 Operator	       *
     83		     667		 Operator	       /
     84		     668		 Special symbol	       #
     84		     669		 Identifier	  define
     84		     670		 Identifier	      YY
     84		     671		 Identifier	   START
     84		     672		 Special symbol	       (
     84		     673		 Special symbol	       (
     84		     674		 Special symbol	       (
     84		     675		 Identifier	      yy
     84		     676		 Identifier	   start
     84		     677		 Operator	       -
     84		     678		 Digit		       1
     84		     679		 Special symbol	       )
     84		     680		 Operator	       /
     84		     681		 Digit		       2
     84		     682		 Special symbol	       )
     85		     683		 Special symbol	       #
     85		     684		 Identifier	  define
     85		     685		 Identifier	 YYSTATE
     85		     686		 Identifier	      YY
     85		     687		 Identifier	   START
     85		     688		 Operator	       /
     85		     689		 Operator	       *
     85		     690		 Identifier	  Action
     85		     691		 Identifier	  number
     85		     692		 Keyword	     for
     85		     693		 Identifier	     EOF
     85		     694		 Identifier	    rule
     85		     695		 Identifier	      of
     85		     696		 Identifier	       a
     85		     697		 Identifier	   given
     85		     698		 Identifier	   start
     85		     699		 Identifier	   state
     85		     700		 Operator	       *
     85		     701		 Operator	       /
     86		     702		 Special symbol	       #
     86		     703		 Identifier	  define
     86		     704		 Identifier	      YY
     86		     705		 Identifier	   STATE
     86		     706		 Identifier	     EOF
     86		     707		 Identifier	   state
     86		     708		 Special symbol	       (
     86		     709		 Identifier	      YY
     86		     710		 Identifier	     END
     86		     711		 Identifier	      OF
     86		     712		 Identifier	  BUFFER
     86		     713		 Operator	       +
     86		     714		 Identifier	   state
     86		     715		 Operator	       +
     86		     716		 Digit		       1
     86		     717		 Special symbol	       )
     87		     718		 Operator	       /
     87		     719		 Operator	       *
     87		     720		 Identifier	 Special
     87		     721		 Identifier	  action
     87		     722		 Identifier	 meaning
     87		     723		 Identifier	   start
     87		     724		 Identifier	 processing
     87		     725		 Identifier	       a
     87		     726		 Identifier	     new
     87		     727		 Identifier	    file
     87		     728		 Operator	       *
     87		     729		 Operator	       /
     88		     730		 Special symbol	       #
     88		     731		 Identifier	  define
     88		     732		 Identifier	      YY
     88		     733		 Identifier	     NEW
     88		     734		 Identifier	    FILE
     88		     735		 Identifier	 yyrestart
     88		     736		 Identifier	    yyin
     88		     737		 Special symbol	       )
     89		     738		 Special symbol	       #
     89		     739		 Identifier	  define
     89		     740		 Identifier	      YY
     89		     741		 Identifier	     END
     89		     742		 Identifier	      OF
     89		     743		 Identifier	  BUFFER
     89		     744		 Identifier	    CHAR
     89		     745		 Digit		       0
     91		     746		 Operator	       /
     91		     747		 Operator	       *
     91		     748		 Identifier	    Size
     91		     749		 Identifier	      of
     91		     750		 Keyword	 default
     91		     751		 Identifier	   input
     91		     752		 Identifier	  buffer
     91		     753		 Operator	       *
     91		     754		 Operator	       /
     92		     755		 Special symbol	       #
     92		     756		 Identifier	  ifndef
     92		     757		 Identifier	      YY
     92		     758		 Identifier	     BUF
     92		     759		 Identifier	    SIZE
     92		     760		 Special symbol	       #
     92		     761		 Identifier	   ifdef
     92		     762		 Identifier	    ia64
     93		     763		 Operator	       /
     93		     764		 Operator	       *
     93		     765		 Identifier	      On
     93		     766		 Identifier	      IA
     93		     767		 Digit		       6
     93		     768		 Digit		       4
     93		     769		 Identifier	     the
     93		     770		 Identifier	  buffer
     93		     771		 Identifier	    size
     93		     772		 Identifier	      is
     93		     773		 Digit		       1
     93		     774		 Digit		       6
     93		     775		 Identifier	       k
     93		     776		 Identifier	     not
     93		     777		 Digit		       8
     93		     778		 Identifier	       k
     94		     779		 Operator	       *
     94		     780		 Identifier	 Moreover
     94		     781		 Identifier	      YY
     94		     782		 Identifier	     BUF
     94		     783		 Identifier	    SIZE
     94		     784		 Identifier	      is
     94		     785		 Digit		       2
     94		     786		 Operator	       *
     94		     787		 Identifier	      YY
     94		     788		 Identifier	    READ
     94		     789		 Identifier	     BUF
     94		     790		 Identifier	    SIZE
     94		     791		 Identifier	      in
     94		     792		 Identifier	     the
     94		     793		 Identifier	 general
     94		     794		 Keyword	    case
     95		     795		 Operator	       *
     95		     796		 Identifier	   Ditto
     95		     797		 Keyword	     for
     95		     798		 Identifier	     the
     95		     799		 Identifier	    ia64
     95		     800		 Keyword	    case
     95		     801		 Identifier	 accordingly
     96		     802		 Operator	       *
     96		     803		 Operator	       /
     97		     804		 Special symbol	       #
     97		     805		 Identifier	  define
     97		     806		 Identifier	      YY
     97		     807		 Identifier	     BUF
     97		     808		 Identifier	    SIZE
     97		     809		 Digit		       3
     97		     810		 Digit		       2
     97		     811		 Digit		       7
     97		     812		 Digit		       6
     97		     813		 Digit		       8
     98		     814		 Special symbol	       #
     98		     815		 Keyword	    else
     98		     816		 Special symbol	       #
     98		     817		 Identifier	  define
     98		     818		 Identifier	      YY
     98		     819		 Identifier	     BUF
     98		     820		 Identifier	    SIZE
     98		     821		 Digit		       1
     98		     822		 Digit		       6
     98		     823		 Digit		       3
     98		     824		 Digit		       8
     98		     825		 Digit		       4
     99		     826		 Special symbol	       #
     99		     827		 Identifier	   endif
     99		     828		 Operator	       /
     99		     829		 Operator	       *
     99		     830		 Identifier	    ia64
     99		     831		 Operator	       *
     99		     832		 Operator	       /
    100		     833		 Special symbol	       #
    100		     834		 Identifier	   endif
    101		     835		 Operator	       /
    101		     836		 Operator	       *
    101		     837		 Identifier	     The
    101		     838		 Identifier	   state
    101		     839		 Identifier	     buf
    101		     840		 Identifier	    must
    101		     841		 Identifier	      be
    101		     842		 Identifier	   large
    101		     843		 Identifier	  enough
    101		     844		 Identifier	      to
    101		     845		 Identifier	    hold
    101		     846		 Identifier	     one
    101		     847		 Identifier	   state
    101		     848		 Identifier	     per
    101		     849		 Identifier	 character
    101		     850		 Identifier	      in
    101		     851		 Identifier	     the
    101		     852		 Identifier	    main
    101		     853		 Identifier	  buffer
    102		     854		 Operator	       *
    102		     855		 Operator	       /
    103		     856		 Special symbol	       #
    103		     857		 Identifier	  define
    103		     858		 Identifier	      YY
    103		     859		 Identifier	   STATE
    103		     860		 Identifier	     BUF
    103		     861		 Identifier	    SIZE
    103		     862		 Special symbol	       (
    103		     863		 Special symbol	       (
    103		     864		 Identifier	      YY
    103		     865		 Identifier	     BUF
    103		     866		 Identifier	    SIZE
    103		     867		 Operator	       +
    103		     868		 Digit		       2
    103		     869		 Special symbol	       )
    103		     870		 Operator	       *
    103		     871		 Keyword	  sizeof
    103		     872		 Identifier	      yy
    103		     873		 Identifier	   state
    103		     874		 Identifier	    type
    103		     875		 Special symbol	       )
    105		     876		 Special symbol	       #
    105		     877		 Identifier	  ifndef
    105		     878		 Identifier	      YY
    105		     879		 Identifier	 TYPEDEF
    105		     880		 Identifier	      YY
    105		     881		 Identifier	  BUFFER
    105		     882		 Identifier	   STATE
    105		     883		 Special symbol	       #
    105		     884		 Identifier	  define
    105		     885		 Identifier	      YY
    105		     886		 Identifier	 TYPEDEF
    105		     887		 Identifier	      YY
    105		     888		 Identifier	  BUFFER
    105		     889		 Identifier	   STATE
    105		     890		 Keyword	 typedef
